"290891","EE AD&D",2.31
"290891","D-ONT",2.49
"290891","EE DENTAL",17.50
"290891","EE HEALTH",27.00
"290891","M-ONT",3.87
"290902","EE AD&D",2.31
"290902","EE DENTAL",17.50
"290902","EE HEALTH",27.00
"290972","EE AD&D",0.46
"290972","EE DENTAL",7.50
"290972","EE HEALTH",12.00
"291112","EE AD&D",0.46
"291112","D-ONT",1.03
"291112","EE DENTAL",7.50
"291112","EE HEALTH",12.00
"291112","M-ONT",1.72
"291312","EE AD&D",2.31
"291312","D-ONT",2.49
"291312","EE DENTAL",17.50
"291312","EE HEALTH",27.00
"291312","M-ONT",3.87
"291516","EE AD&D",0.46
"291516","EE DENTAL",7.50
"291516","EE HEALTH",12.00
"291647","EE AD&D",0.23
"291647","D-ONT",1.03
"291647","EE DENTAL",7.50
"291647","EE HEALTH",12.00
"291647","M-ONT",1.72
"291665","EE AD&D",0.23
"291665","D-ONT",2.49
"291665","EE DENTAL",17.50
"291665","EE HEALTH",27.00
"291665","M-ONT",3.87
"291871","EE AD&D",2.31
"291871","D-QUE",2.80
"291871","EE DENTAL",17.50
"291871","EE HEALTH",27.00
"291871","M-QUE",4.35
"291958","EE AD&D",0.46
"291958","D-QUE",2.80
"291958","EE DENTAL",17.50
"291958","EE HEALTH",27.00
"291958","M-QUE",4.35
"292139","EE AD&D",0.46
"292139","D-ONT",1.03
"292139","EE DENTAL",7.50
"292139","EE HEALTH",12.00
"292139","M-ONT",1.72
"292281","EE AD&D",0.46
"292281","D-ONT",2.49
"292281","EE DENTAL",17.50
"292281","EE HEALTH",27.00
"292281","M-ONT",3.87
"292300","EE AD&D",0.23
"292300","D-ONT",2.49
"292300","EE DENTAL",17.50
"292300","EE HEALTH",27.00
"292300","M-ONT",3.87
"292447","EE AD&D",0.23
"292447","D-ONT",2.49
"292447","EE DENTAL",17.50
"292447","EE HEALTH",27.00
"292447","M-ONT",3.87
"292765","EE AD&D",0.46
"292765","D-QUE",2.80
"292765","EE DENTAL",17.50
"292765","EE HEALTH",27.00
"292765","M-QUE",4.35
"292766","EE AD&D",0.23
"292766","D-ONT",2.49
"292766","EE DENTAL",17.50
"292766","EE HEALTH",27.00
"292766","M-ONT",3.87
"292775","EE AD&D",0.46
"292775","D-QUE",1.16
"292775","EE DENTAL",7.50
"292775","EE HEALTH",12.00
"292775","M-QUE",1.93
"292838","EE AD&D",2.31
"292838","D-ONT",2.49
"292838","EE DENTAL",17.50
"292838","EE HEALTH",27.00
"292838","M-ONT",3.87
"292928","EE AD&D",0.46
"292928","D-QUE",1.16
"292928","EE DENTAL",7.50
"292928","EE HEALTH",12.00
"292928","M-QUE",1.93
"293033","EE AD&D",0.23
"293033","D-ONT",1.03
"293033","EE DENTAL",7.50
"293033","EE HEALTH",12.00
"293033","M-ONT",1.72
"293034","EE AD&D",0.23
"293034","D-ONT",2.49
"293034","EE DENTAL",17.50
"293034","EE HEALTH",27.00
"293034","M-ONT",3.87
"293045","EE AD&D",0.46
"293045","D-ONT",2.49
"293045","EE DENTAL",17.50
"293045","EE HEALTH",27.00
"293045","M-ONT",3.87
"293153","EE AD&D",0.46
"293153","D-ONT",1.03
"293153","EE DENTAL",7.50
"293153","EE HEALTH",12.00
"293153","M-ONT",1.72
"293207","EE AD&D",0.46
"293207","D-QUE",1.16
"293207","EE DENTAL",7.50
"293207","EE HEALTH",12.00
"293207","M-QUE",1.93
"322257","EE AD&D",0.12
"322257","D-ONT",1.03
"322257","EE DENTAL",7.50
"322257","EE HEALTH",12.00
"322257","M-ONT",1.72
"326611","EE AD&D",0.46
"326611","D-ONT",2.49
"326611","EE DENTAL",17.50
"326611","EE HEALTH",27.00
"326611","M-ONT",3.87
"328539","EE AD&D",0.23
"328539","EE DENTAL",7.50
"328539","EE HEALTH",12.00
"335574","EE AD&D",0.23
"335574","D-QUE",1.16
"335574","EE DENTAL",7.50
"335574","EE HEALTH",12.00
"335574","M-QUE",1.93
"335580","EE AD&D",0.46
"335580","EE DENTAL",7.50
"335580","EE HEALTH",12.00
"338688","EE AD&D",2.31
"338688","EE DENTAL",17.50
"338688","EE HEALTH",27.00
"347829","EE AD&D",0.46
"347829","EE DENTAL",7.50
"347829","EE HEALTH",12.00
"349272","EE AD&D",2.31
"349272","EE DENTAL",7.50
"349272","EE HEALTH",12.00
"352795","EE AD&D",0.46
"352795","EE DENTAL",7.50
"352795","EE HEALTH",12.00
"353113","EE AD&D",0.23
"353113","D-ONT",2.49
"353113","EE DENTAL",17.50
"353113","EE HEALTH",27.00
"353113","M-ONT",3.87
"357403","EE AD&D",0.46
"357403","D-ONT",1.03
"357403","EE DENTAL",7.50
"357403","EE HEALTH",12.00
"357403","M-ONT",1.72
"358418","EE AD&D",0.23
"358418","D-ONT",2.49
"358418","EE DENTAL",17.50
"358418","EE HEALTH",27.00
"358418","M-ONT",3.87
"367017","EE AD&D",0.46
"367017","D-ONT",1.03
"367017","EE DENTAL",7.50
"367017","EE HEALTH",12.00
"367017","M-ONT",1.72
"368067","EE AD&D",2.31
"368067","D-ONT",2.49
"368067","EE DENTAL",17.50
"368067","EE HEALTH",27.00
"368067","M-ONT",3.87
"370190","EE AD&D",0.46
"370190","D-ONT",1.03
"370190","EE DENTAL",7.50
"370190","EE HEALTH",12.00
"370190","M-ONT",1.72
"371706","EE AD&D",0.46
"371706","D-ONT",1.03
"371706","EE DENTAL",7.50
"371706","EE HEALTH",12.00
"371706","M-ONT",1.72
"379321","EE AD&D",0.46
"379321","EE DENTAL",7.50
"379321","EE HEALTH",12.00
"379329","EE AD&D",2.31
"379329","EE DENTAL",7.50
"379329","EE HEALTH",12.00
"385497","EE AD&D",0.46
"385497","EE DENTAL",17.50
"385497","EE HEALTH",27.00
"385682","EE AD&D",0.46
"385682","D-ONT",1.03
"385682","EE DENTAL",7.50
"385682","EE HEALTH",12.00
"385682","M-ONT",1.72
"386467","EE AD&D",0.46
"386467","D-ONT",1.03
"386467","EE DENTAL",7.50
"386467","EE HEALTH",12.00
"386467","M-ONT",1.72
"387794","EE AD&D",1.15
"387794","D-QUE",1.16
"387794","EE DENTAL",7.50
"387794","EE HEALTH",12.00
"387794","M-QUE",1.93
"388517","EE AD&D",0.46
"388517","EE DENTAL",7.50
"388517","EE HEALTH",12.00
"388689","EE AD&D",0.46
"388689","D-ONT",1.03
"388689","EE DENTAL",7.50
"388689","EE HEALTH",12.00
"388689","M-ONT",1.72
"394208","EE AD&D",0.23
"394208","D-ONT",2.49
"394208","EE DENTAL",17.50
"394208","EE HEALTH",27.00
"394208","M-ONT",3.87
"398858","EE AD&D",0.46
"398858","D-ONT",1.03
